<DATE>,<TIME>,Open,High,Low,Close,Volume
20120823,130000,676.9350000,677.3200000,674.3907000,676.7299000,122704
20120823,140000,676.6900000,677.0000000,674.4800000,676.7180000,129954
20120823,150000,676.6700000,680.4800000,676.1301000,678.1500000,276844
20120823,160000,678.0300000,680.2000000,676.0600000,676.8000000,393744
20120824,100000,675.6000000,677.7000000,674.0800000,675.1430000,184519
20120824,110000,675.1200000,678.6200000,674.9000000,677.7300000,223276
20120824,120000,678.0400000,680.4500000,677.6400000,678.3000000,242958
20120824,130000,678.1400000,679.8700000,677.1900000,679.7300000,106390
20120824,140000,679.7570000,680.2100000,678.2700000,679.0700000,106001
20120824,150000,679.1600000,679.1600000,677.9910000,678.7000000,125344
20120824,160000,678.7100000,679.4800000,677.6900000,678.3500000,257779
20120827,100000,663.2900000,670.5000000,659.2400000,663.9920000,804605
20120827,110000,663.9500000,668.4200000,663.4800000,667.1280000,429793
20120827,120000,667.2000000,671.8480000,667.0900000,668.7300000,295091
20120827,130000,668.8200000,669.9300000,668.2220000,669.0200000,137082
20120827,140000,669.1300000,670.4900000,668.5300000,669.7001000,128696
20120827,150000,669.7400000,672.0000000,669.7300000,671.0700000,231334
20120827,160000,671.0200000,671.6300000,666.9100000,669.1400000,410075
20120828,100000,665.0000000,674.4000000,664.7400000,670.7300000,443129
20120828,110000,670.7300000,677.3200000,669.3000000,675.2280000,500538
20120828,120000,675.2300000,677.3200000,674.8200000,677.3140000,218443
20120828,130000,677.3700000,677.6000000,676.1710000,677.0800000,174573
20120828,140000,677.1300000,677.2000000,675.5100000,675.8900000,149859
20120828,150000,675.7700000,677.1000000,675.4800000,676.2900000,148786
20120828,160000,676.3700000,677.6200000,676.2300000,677.2900000,345976
20120829,100000,677.3600000,684.5900000,676.1500000,683.0000000,902818
20120829,110000,682.9900000,684.8000000,681.2100000,681.5300000,431232
20120829,120000,681.6400000,684.0430000,681.3900000,683.2100000,205432
20120829,130000,683.0600000,684.4000000,683.0200000,683.6400000,93240
20120829,140000,683.8000000,688.6900000,683.8000000,688.0800000,373233
20120829,150000,688.2200000,688.9900000,686.7400000,687.8200000,336687
20120829,160000,687.8200000,688.6500000,686.3710000,688.1700000,463209
20120830,100000,683.8500000,687.3900000,683.7030000,684.6200000,344523
20120830,110000,684.8800000,685.7883000,682.2800000,683.1800000,385841
20120830,120000,683.0600000,684.7600000,682.8300000,683.6300000,128362
20120830,130000,683.7000000,683.7400000,681.6550000,681.6900000,101745
20120830,140000,681.6700000,683.2500000,680.1800000,682.6500000,147541
20120830,150000,682.6500000,684.7600000,682.1600000,684.7600000,121090
20120830,160000,684.7600000,685.0700000,681.2500000,681.7000000,284922
20120831,100000,684.0000000,686.9600000,682.7800000,682.9600000,309970
20120831,110000,682.9600000,687.6900000,680.0400000,687.6700000,490048
20120831,120000,687.6800000,688.5800000,686.3200000,686.5200000,273578
20120831,130000,686.5500000,686.8400000,683.6000000,684.6500000,149553
20120831,140000,684.9700000,684.9900000,681.5200000,684.7700000,194185
20120831,150000,684.8700000,686.2070000,683.9500000,685.9750000,162351
20120831,160000,686.0300000,686.2500000,683.2900000,685.0400000,316660
20120904,100000,684.5500000,685.0000000,680.0000000,680.7189000,293261
20120904,110000,680.4100000,680.9900000,673.7700000,674.9100000,409384
20120904,120000,674.6600000,676.0000000,673.5000000,675.8400000,204658
20120904,130000,675.8400000,677.0000000,675.0840000,676.8000000,132642
20120904,140000,676.7300000,679.5500000,676.4210000,678.2400000,153403
20120904,150000,678.1500000,683.7000000,678.1500000,681.9400000,273302
20120904,160000,681.7800000,682.8700000,680.6700000,681.0000000,254849
20120905,100000,680.0000000,686.5000000,679.1400000,683.9500000,458359
20120905,110000,684.0000000,684.9000000,680.8000000,681.5200000,264609
20120905,120000,681.5100000,684.4000000,680.1800000,683.5300000,138098
20120905,130000,683.5200000,686.1500000,683.3300000,685.7100000,188925
20120905,140000,685.4400000,685.8700000,681.6600000,682.3500000,113741
20120905,150000,682.2800000,682.7900000,680.6700000,682.4800000,140546
20120905,160000,682.3700000,682.6500000,679.1400000,680.7600000,295509
20120906,100000,685.9600000,690.7100000,684.7302000,690.1100000,530928
